A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 53, B : 1b, C: e5, D : c2 ,E: 3e, F : 0a, G : e3 , codes_A :  14 
A : 09, B : fa, C: d9, D : d8 ,E: 36, F : 2c, G : 20 , codes_A :  42 
A : 7c, B : 4c, C: 0f, D : ac ,E: 34, F : 33, G : 87 , codes_A :  39 
A : 46, B : 16, C: f2, D : e4 ,E: 75, F : d1, G : 91 , codes_A :  92 
A : 36, B : c5, C: a4, D : 9c ,E: fa, F : e9, G : cb , codes_A : 118 
A : 64, B : 1e, C: 10, D : d2 ,E: 6d, F : 62, G : ee , codes_A :  89 
A : 5e, B : 0e, C: ec, D : c2 ,E: 79, F : bb, G : a8 , codes_A :  94 
A : fa, B : c7, C: a2, D : 88 ,E: 4c, F : c0, G : 88 , codes_A :  77 
A : 24, B : 0c, C: c0, D : a0 ,E: 7f, F : 05, G : ae , codes_A :  23 
A : 2d, B : 28, C: 10, D : d2 ,E: 6f, F : 1a, G : ea , codes_A :  25 
A : 0c, B : f4, C: af, D : 8a ,E: 51, F : 0c, G : ae , codes_A :  18 
A : 42, B : 31, C: 2e, D : e0 ,E: 22, F : 0e, G : a8 , codes_A :  12 
A : 36, B : 24, C: ef, D : c4 ,E: 42, F : f5, G : a7 , codes_A :  81 
A : 6d, B : 66, C: 5a, D : 4e ,E: 1b, F : 19, G : 0e , codes_A :   6 
A : 57, B : 2e, C: 29, D : 24 ,E: 44, F : 19, G : 88 , codes_A :  17 
A : 2a, B : 1b, C: 19, D : 8e ,E: 63, F : d3, G : 92 , codes_A :  92 
A : 53, B : 3e, C: 1b, D : d6 ,E: 3e, F : e3, G : 8d , codes_A :  57 
