A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 53, B : 1b, C: e5, D : c2 ,E: 3e, F : 0a, G : e3 
A : 09, B : fa, C: d9, D : d8 ,E: 36, F : 2c, G : 20 
A : 7c, B : 4c, C: 0f, D : ac ,E: 34, F : 33, G : 87 
A : 46, B : 16, C: f2, D : e4 ,E: 75, F : d1, G : 91 
A : 36, B : c5, C: a4, D : 9c ,E: fa, F : e9, G : cb 
A : 64, B : 1e, C: 10, D : d2 ,E: 6d, F : 62, G : ee 
A : 5e, B : 0e, C: ec, D : c2 ,E: 79, F : bb, G : a8 
A : fa, B : c7, C: a2, D : 88 ,E: 4c, F : c0, G : 88 
A : 24, B : 0c, C: c0, D : a0 ,E: 7f, F : 05, G : ae 
A : 2d, B : 28, C: 10, D : d2 ,E: 6f, F : 1a, G : ea 
A : 0c, B : f4, C: af, D : 8a ,E: 51, F : 0c, G : ae 
A : 42, B : 31, C: 2e, D : e0 ,E: 22, F : 0e, G : a8 
A : 36, B : 24, C: ef, D : c4 ,E: 42, F : f5, G : a7 
A : 6d, B : 66, C: 5a, D : 4e ,E: 1b, F : 19, G : 0e 
A : 57, B : 2e, C: 29, D : 24 ,E: 44, F : 19, G : 88 
A : 2a, B : 1b, C: 19, D : 8e ,E: 63, F : d3, G : 92 
A : 53, B : 3e, C: 1b, D : d6 ,E: 3e, F : e3, G : 8d 
A : 60, B : 09, C: e7, D : d8 ,E: 36, F : 2c, G : 28 
A : 4c, B : 0f, C: e5, D : d0 ,E: 34, F : 03, G : 87 
A : 16, B : f2, C: e5, D : dc ,E: 75, F : 93, G : 91 
A : 4e, B : 43, C: 36, D : 9c ,E: fa, F : eb, G : cb 
A : 10, B : e6, C: b2, D : ac ,E: 6d, F : 69, G : 62 
A : 5e, B : 0e, C: ec, D : e8 ,E: 79, F : 03, G : bb 
A : fa, B : f2, C: a2, D : 88 ,E: c0, F : af, G : 88 
